,0
11728,"887207,351588,303669,10617,8608,662973,308967,297433,632172,8917,464626,236489,247235,646847,455524,311158,24599,440780,244497,229954,296597,660889,550235,214265,370535,414990,211855,232438,349853,521637,9042,210283,249866,11718,297635,9062,18632,251721,272485,288992,21646,47623,18675,19264,310519,10656,19296,20431,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187,23911,20123,8845,270253,22182,14236,16281,15501,21585,17944,19346,9117,13368"
229954,"351588,303669,10617,8608,308967,297433,8917,464626,236489,247235,646847,455524,311158,11728,296597,660889,550235,214265,370535,414990"
296597,"351588,303669,10617,8608,297433,8917,464626,236489,247235,455524,311158,11728,229954,660889,550235,414990,232438,210283,249866,11718"
660889,"303669,10617,8608,297433,8917,236489,11728,229954,296597,550235"
550235,"303669,10617,8608,297433,8917,236489,247235,11728,229954,296597,660889"
214265,"303669,10617,8608,297433,8917,236489,247235,311158,440780,11728,229954,370535"
370535,"303669,10617,8608,297433,8917,236489,311158,440780,11728,229954,214265"
414990,"303669,10617,8608,308967,297433,8917,236489,247235,311158,440780,244497,11728,229954,296597,211855,232438,210283,249866"
211855,"351588,303669,10617,8608,308967,297433,8917,311158,440780,244497,11728,414990,232438"
232438,"351588,303669,10617,8608,308967,297433,8917,247235,311158,24599,440780,244497,11728,296597,414990,211855,349853,521637,9042,210283,249866,9062,251721,272485,288992,21646,47623,18675,19264,310519,10656,19296"
349853,"303669,10617,8608,297433,632172,8917,247235,311158,244497,11728,232438,521637,210283"
521637,"303669,10617,8608,297433,632172,8917,247235,311158,244497,11728,232438,349853,9042,210283"
9042,"303669,10617,8608,308967,297433,632172,8917,247235,311158,244497,11728,232438,521637,9062,20387,10772,14054,12856,22182,14236,15501,21585,19346,13368,15555,21537,9327,14325,15522,15901,11724"
210283,"351588,303669,10617,8608,308967,297433,8917,247235,311158,244497,11728,296597,414990,232438,349853,521637,249866,11718,297635,9062,18632,251721,21646,47623,18675,10656,19296,20431,18655,9310,21650,20387,18389,21431,24598,10772"
249866,"303669,10617,8608,297433,8917,247235,311158,11728,296597,414990,232438,210283,11718,297635"
11718,"303669,10617,8608,297433,8917,247235,311158,11728,296597,210283,249866,297635,9062,18632,47623,18675,19296,20431,18655,9310"
297635,"303669,10617,8608,297433,8917,247235,311158,244497,11728,210283,249866,11718,9062,18632,47623,18675,19296,20431,9310,20387"
9062,"351588,303669,10617,8608,308967,297433,8917,247235,311158,24599,244497,11728,232438,9042,210283,11718,297635,18632,251721,272485,288992,21646,47623,18675,19264,310519,10656,19296,20431,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187,20123,8845,270253,22182,14236,15501,21585,17944,19346,22144,9117,13368,15555,15876,21537"
18632,"303669,10617,8608,297433,8917,311158,244497,11728,210283,11718,297635,9062,47623,18675,19296,20431,18655,9310,20387"
251721,"351588,303669,10617,8608,308967,297433,8917,311158,11728,232438,210283,9062"
272485,"303669,10617,8608,308967,8917,247235,311158,11728,232438,9062,288992,18675,19264"
288992,"303669,10617,8608,308967,8917,247235,311158,11728,232438,9062,272485,21646,47623,18675,19264"
21646,"303669,10617,8608,308967,311158,11728,232438,210283,9062,288992,47623,18675,19296,20431,9310,10772"
47623,"303669,10617,8608,308967,297433,8917,247235,311158,11728,232438,210283,11718,297635,9062,18632,288992,21646,18675,10656,19296,20431,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187"
18675,"303669,10617,8608,297433,8917,247235,311158,11728,232438,210283,11718,297635,9062,18632,272485,288992,21646,47623,19264,10656,19296,20431,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187,23911,20123,22182,14236"
19264,"303669,10617,8608,8917,311158,11728,232438,9062,272485,288992,18675,19296,18655,20387,10772,14054,12856,20187,20123,22182,14236,16281,15501,21585,17944,22144"
310519,"10617,8608,297433,311158,24599,11728,232438,9062,10656,19296"
