,0
311158,"641423,665053,519082,669855,457279,298438,12454,364788,398778,887207,662973,646847,455524,464626,229954,214265,370535,236489,211855,440780,632172,349853,521637,414990,296597,249866,244497,351588,251721,308967,272485,288992,8917,24599,310519,232438,247235,303669,11718,297635,297433,18632,21646,210283,10656,47623,9310,20431,10617,18675,18655,11728,19264,19296,9062,9042,8608"
247235,"527776,665053,519082,669855,457279,298438,12454,398778,887207,662973,646847,455524,550235,464626,229954,214265,236489,440780,632172,349853,521637,414990,296597,249866,244497,351588,308967,272485,288992,8917,24599,232438,311158,297499,303669,11718,297635,297433,210283,47623,20431,10617,18675,11728,19296,9062,9042,8608"
297499,"247235,303669,47623,20431,10617,18675,11728,19296,9062,8608"
303669,"527776,747031,641423,665053,519082,669855,457279,298438,12454,364788,398778,887207,662973,646847,455524,660889,550235,464626,229954,214265,370535,236489,211855,440780,632172,349853,521637,414990,296597,249866,244497,351588,251721,308967,272485,288992,8917,24599,232438,311158,247235,297499,11718,297635,297433,18632,21646,210283,10656,47623,9310,20431,10617,21650,18675,18655,11728,19264,19296,9062,9042,8608"
11718,"296597,249866,8917,311158,247235,303669,297635,297433,18632,210283,47623,9310,20431,10617,18675,18655,11728,19296,9062,8608"
297635,"249866,244497,8917,311158,247235,303669,11718,297433,18632,210283,47623,9310,20431,10617,18675,11728,19296,9062,20387,8608"
297433,"527776,641423,665053,519082,669855,457279,298438,12454,364788,398778,887207,662973,646847,455524,660889,550235,464626,229954,214265,370535,236489,211855,440780,632172,349853,521637,414990,296597,249866,244497,351588,251721,308967,8917,24599,310519,232438,311158,247235,303669,11718,297635,18632,210283,10656,47623,18389,9310,20431,10617,18675,18655,11728,19296,9062,20387,9042,8608"
18632,"244497,8917,311158,303669,11718,297635,297433,210283,47623,9310,20431,10617,18675,18655,11728,19296,9062,20387,8608"
21431,"24598,210283,47623,20431,18675,11728,19296,9062,20387,8608"
24598,"21431,210283,47623,9310,20431,10617,10582,21650,18675,18655,11728,19296,9062,20387,10772,8608"
21646,"308967,288992,232438,311158,303669,210283,47623,9310,20431,10617,18675,11728,19296,9062,10772,8608"
210283,"349853,521637,414990,296597,249866,244497,351588,251721,308967,8917,232438,311158,247235,303669,11718,297635,297433,18632,21431,24598,21646,10656,47623,18389,9310,20431,10617,21650,18675,18655,11728,19296,9062,20387,10772,8608"
10656,"24599,310519,232438,311158,303669,297433,210283,47623,9310,20431,10617,21650,18675,18655,11728,19296,9062,10772,8608"
