id,name,image,image_path
41318,Mushtaq Mohammad,/db/PICTURES/CMS/21100/21173.jpg,41318
40555,Ijaz Butt,/db/PICTURES/CMS/95100/95165.1.jpg,40555
40041,A D'Souza,/db/PICTURES/DB/052003/044515.player.jpg,40041
42426,SF Rehman,/db/PICTURES/DB/052003/044756.player.jpg,42426
42603,Saeed Ahmed,/db/PICTURES/CMS/302600/302646.jpg,42603
42057,Nasim-ul-Ghani,/db/PICTURES/DB/052003/044752.player.jpg,42057
40380,Haseeb Ahsan,/db/PICTURES/CMS/21000/21014.player.jpg,40380
40329,Gul Mohammad,/db/PICTURES/DB/122004/057119.player.jpg,40329
41278,W Mathias,/db/PICTURES/DB/052003/044758.player.jpg,41278
38981,Agha Saadat Ali,/db/PICTURES/DB/052003/044512.player.jpg,38981
41280,Miran Bakhsh,/db/PICTURES/DB/052003/044748.player.jpg,41280
41283,Mohammad Aslam,/db/PICTURES/CMS/302600/302638.jpg,41283
41038,Khalid Hasan,/db/PICTURES/DB/052003/044742.player.jpg,41038
40302,MEZ Ghazali,/db/PICTURES/DB/042003/044144.player.jpg,40302
42660,Shujauddin,/db/PICTURES/CMS/302600/302647.jpg,42660
41041,Khalid Wazir,/db/PICTURES/CMS/305800/305887.jpg,41041
38992,Alimuddin,/db/PICTURES/DB/052003/044513.player.jpg,38992
43557,Wazir Mohammad,/db/PICTURES/DB/052003/044760.player.jpg,43557
43706,Zulfiqar Ahmed,/db/PICTURES/CMS/8700/8747.1.jpg,43706
41267,Mahmood Hussain,/db/PICTURES/DB/062004/053153.player.jpg,41267
43541,Waqar Hasan,/db/PICTURES/CMS/302600/302648.jpg,43541
42068,Nazar Mohammad,/db/PICTURES/DB/052003/044753.player.jpg,42068
41270,Maqsood Ahmed,/db/PICTURES/DB/052003/044746.player.jpg,41270
41043,Khan Mohammad,/db/PICTURES/DB/052003/044744.player.jpg,41043
41030,AH Kardar,/db/PICTURES/CMS/302600/302637.jpg,41030
40579,Israr Ali,/db/PICTURES/DB/052003/044739.player.jpg,40579
40565,Imtiaz Ahmed,/db/PICTURES/CMS/302600/302642.jpg,40565
40373,Hanif Mohammad,/db/PICTURES/CMS/302600/302641.jpg,40373
40092,Fazal Mahmood,/db/PICTURES/CMS/302600/302639.jpg,40092
39001,Anwar Hussain,/db/PICTURES/DB/052003/044516.player.jpg,39001
38997,Amir Elahi,/db/PICTURES/CMS/302300/302333.jpg,38997
