id,name,image,image_path
633366,Shahidullah,/db/PICTURES/CMS/179000/179055.1.jpg,633366
524050,Sayed Shirzad,/db/PICTURES/CMS/303200/303288.jpg,524050
633399,Munir Ahmad,/db/PICTURES/CMS/179000/179089.1.jpg,633399
974173,Abdul Wasi,false,default
1059030,Abdul Malik,false,default
524048,Nasir Jamal,/db/PICTURES/CMS/267200/267234.1.jpg,524048
402245,Amir Hamza,/db/PICTURES/CMS/181200/181271.jpg,402245
712219,Zahir Khan,/db/PICTURES/CMS/303200/303292.jpg,712219
914171,Qais Ahmad,/db/PICTURES/CMS/296500/296532.1.jpg,914171
921509,Ibrahim Zadran,/db/PICTURES/CMS/303200/303273.jpg,921509
1108490,Waqar Salamkheil,/db/PICTURES/CMS/294300/294370.15.jpg,1108490
935553,Ikram Alikhil,/db/PICTURES/CMS/303200/303275.jpg,935553
703323,Ihsanullah,/db/PICTURES/CMS/179000/179071.1.jpg,703323
440968,Yamin Ahmadzai,/db/PICTURES/CMS/327600/327678.1.jpg,440968
973945,Wafadar Momand,/db/PICTURES/CMS/277700/277738.1.jpg,973945
793463,Rashid Khan,/db/PICTURES/CMS/289200/289234.1.jpg,793463
533956,Rahmat Shah,/db/PICTURES/CMS/303200/303287.jpg,533956
974109,Mujeeb Ur Rahman,/db/PICTURES/CMS/303200/303282.jpg,974109
419873,Mohammad Shahzad,/db/PICTURES/CMS/303200/303281.jpg,419873
25913,Mohammad Nabi,/db/PICTURES/CMS/303200/303280.jpg,25913
308235,Javed Ahmadi,/db/PICTURES/CMS/150100/150121.1.jpg,308235
440970,Hashmatullah Shahidi,/db/PICTURES/CMS/303200/303271.jpg,440970
320652,Asghar Afghan,/db/PICTURES/CMS/303200/303265.jpg,320652
420402,Afsar Zazai,/db/PICTURES/CMS/303200/303258.jpg,420402
