id,name,image,image_path
6607,CR Miller,/db/PICTURES/CMS/304000/304047.png,6607
6285,DS Lehmann,/db/PICTURES/CMS/52300/52373.1.jpg,6285
4890,AC Dale,/db/PICTURES/DB/111999/007726.player.jpg,4890
8241,P Wilson,/db/PICTURES/CMS/127200/127222.1.jpg,8241
7366,GR Robertson,/db/PICTURES/DB/102000/016853.jpg,7366
6441,SCG MacGill,/db/PICTURES/CMS/331200/331248.1.png,6441
4619,SH Cook,/db/PICTURES/DB/102000/016840.player.jpg,4619
8457,S Young,/db/PICTURES/DB/102001/031010.1.jpg,8457
4146,AJ Bichel,/db/PICTURES/DB/032004/051159.jpg,4146
5392,JN Gillespie,/db/PICTURES/CMS/52300/52370.1.jpg,5392
6126,MS Kasprowicz,/db/PICTURES/CMS/52300/52371.1.jpg,6126
5130,MTG Elliott,/db/PICTURES/CMS/52500/52593.1.jpg,5130
5681,GB Hogg,/db/PICTURES/CMS/202500/202589.1.jpg,5681
7133,RT Ponting,/db/PICTURES/CMS/202600/202613.1.jpg,7133
6274,SG Law,/db/PICTURES/CMS/50400/50452.1.jpg,6274
6573,PE McIntyre,/db/PICTURES/DB/102001/031027.1.jpg,6573
4161,GS Blewett,/db/PICTURES/DB/062004/053171.player.jpg,4161
5139,PA Emery,/db/PICTURES/DB/102002/039658.1.jpg,5139
5239,DW Fleming,/db/PICTURES/DB/102001/030731.1.jpg,5239
4144,MG Bevan,/db/PICTURES/CMS/66700/66754.jpg,4144
5616,ML Hayden,/db/PICTURES/CMS/73900/73928.1.jpg,5616
6565,GD McGrath,/db/PICTURES/CMS/52300/52367.1.jpg,6565
7629,MJ Slater,/db/PICTURES/DB/062004/052820.player.jpg,7629
6056,BP Julian,/db/PICTURES/DB/041999/004592.player.jpg,6056
3975,J Angel,/db/PICTURES/DB/102001/030964.1.jpg,3975
6256,JL Langer,/db/PICTURES/CMS/304000/304052.jpg,6256
6513,DR Martyn,/db/PICTURES/CMS/52300/52376.1.jpg,6513
7326,PR Reiffel,/db/PICTURES/CMS/229500/229525.1.jpg,7326
7116,WN Phillips,false,default
8166,SK Warne,/db/PICTURES/CMS/304000/304048.jpg,8166
8189,ME Waugh,/db/PICTURES/CMS/304000/304051.png,8189
6628,TM Moody,/db/PICTURES/DB/102004/054810.player.jpg,6628
4523,GD Campbell,false,default
7924,MA Taylor,/db/PICTURES/CMS/86300/86318.1.jpg,7924
5688,TV Hohns,/db/PICTURES/DB/052001/025935.player.jpg,5688
5628,IA Healy,/db/PICTURES/DB/052004/052562.player.jpg,5628
4964,AIC Dodemaide,/db/PICTURES/DB/102004/054808.player.jpg,4964
6534,TBA May,/db/PICTURES/CMS/21300/21338.player.jpg,6534
8105,MRJ Veletta,/db/PICTURES/DB/102001/030985.1.jpg,8105
7926,PL Taylor,/db/PICTURES/CMS/331200/331244.1.png,7926
4996,GC Dyer,false,default
6523,CD Matthews,/db/PICTURES/DB/092004/054556.player.jpg,6523
8468,TJ Zoehrer,/db/PICTURES/DB/092004/054610.player.jpg,8468
4923,SP Davis,false,default
8192,SR Waugh,/db/PICTURES/CMS/304000/304049.png,8192
7319,BA Reid,/db/PICTURES/DB/012005/057789.player.jpg,7319
6499,GR Marsh,/db/PICTURES/DB/101999/007639.player.jpg,6499
5726,MG Hughes,/db/PICTURES/DB/102004/054987.player.jpg,5726
6145,RB Kerr,false,default
5385,DR Gilbert,false,default
6995,SP O'Donnell,/db/PICTURES/DB/022003/041652.player.jpg,6995
6551,CJ McDermott,/db/PICTURES/CMS/17700/17721.1.jpg,6551
4127,MJ Bennett,false,default
5692,RG Holland,false,default
4169,DC Boon,/db/PICTURES/CMS/229400/229447.1.jpg,4169
6044,DM Jones,/db/PICTURES/CMS/309400/309434.1.jpg,6044
7656,SB Smith,false,default
6525,GRJ Matthews,/db/PICTURES/DB/072004/053650.player.jpg,6525
6460,JN Maguire,false,default
7115,WB Phillips,/db/PICTURES/DB/052002/036087.player.jpg,7115
8256,RD Woolley,false,default
5679,TG Hogan,false,default
47884,KC Wessels,/db/PICTURES/CMS/33800/33846.1.jpg,47884
7302,CG Rackemann,/db/PICTURES/DB/052004/052561.player.jpg,7302
7358,GM Ritchie,/db/PICTURES/CMS/331100/331161.4.png,7358
8198,DM Wellham,/db/PICTURES/CMS/58100/58104.1.jpg,8198
8220,MR Whitney,/db/PICTURES/CMS/51800/51866.1.jpg,8220
6143,MF Kent,/db/PICTURES/CMS/58100/58113.1.jpg,6143
4561,TM Chappell,/db/PICTURES/CMS/58100/58112.1.jpg,4561
3943,TM Alderman,/db/PICTURES/CMS/58100/58116.1.jpg,3943
6272,GF Lawson,/db/PICTURES/CMS/58100/58107.1.jpg,6272
4112,GR Beard,/db/PICTURES/CMS/58100/58109.1.jpg,4112
8224,JM Wiener,false,default
6250,BM Laird,/db/PICTURES/CMS/82600/82613.1.jpg,6250
6654,JK Moss,false,default
8210,DF Whatmore,/db/PICTURES/CMS/143200/143201.1.jpg,8210
7630,PR Sleep,/db/PICTURES/CMS/69400/69478.1.jpg,7630
5656,AMJ Hilditch,/db/PICTURES/CMS/19800/19837.3.jpg,5656
8264,KJ Wright,false,default
4534,PH Carlson,false,default
4174,AR Border,false,default
6452,JA Maclean,false,default
5685,RM Hogg,/db/PICTURES/CMS/58100/58105.1.jpg,5685
6261,TJ Laughlin,false,default
5652,JD Higgs,/db/PICTURES/CMS/84400/84410.1.jpg,5652
8449,B Yardley,/db/PICTURES/CMS/287000/287067.1.jpg,8449
8251,GM Wood,/db/PICTURES/CMS/58100/58110.1.jpg,8251
4900,WM Darling,false,default
4517,IW Callen,false,default
5358,JB Gannon,false,default
5001,J Dyson,/db/PICTURES/CMS/89100/89152.1.jpg,5001
7959,PM Toohey,false,default
7360,SJ Rixon,/db/PICTURES/CMS/58100/58117.1.jpg,7360
6996,AD Ogilvie,false,default
6477,AL Mann,false,default
5648,PA Hibbert,false,default
4584,WM Clark,/db/PICTURES/CMS/50400/50408.1.jpg,4584
6474,MF Malone,/db/PICTURES/CMS/82600/82618.1.jpg,6474
5724,KJ Hughes,/db/PICTURES/CMS/43800/43891.1.jpg,5724
4208,RJ Bright,/db/PICTURES/CMS/58100/58114.1.jpg,4208
7594,CS Serjeant,/db/PICTURES/DB/042005/059342.player.jpg,7594
7376,RD Robinson,/db/PICTURES/CMS/82600/82617.1.jpg,7376
