,id,matches
29,4493,"527017,518947,518948,520591,520605,560929,560930,567356,567357,569243,569244,569245,566921,566922"
30,362541,"527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,566922,668949,668951,749779,892509,892511,892513,914203,914205,914237,936127,936129"
31,38931,"473921,473922,527017,518947,518948"
32,38005,464533
33,277906,"464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,569243,569244,569245,566921,566922,668949,668951,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030217,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1187685,1187686,1233957,1233962,1233963,1249210,1249875"
34,226493,464531
35,36194,"423789,423790,464532,473921,473922,520604"
36,38952,"423786,423789"
37,38924,"423780,423786,423789,423790,464531,527017,520591,560930,567356,567357,569243,569244,569245,566921,668949,668951,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030215,1030217,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1183534,1187685,1187686,1233958,1233962,1233963,1249210,1249875"
38,226492,"366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,566922,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030215,1030217"
39,37706,"366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921"
40,38373,"361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,464531,464532,464533,473921,473922,518947,518948"
41,37248,"296902,464531,464532,464533"
42,38264,"296900,296901,296902,361758,361759,351679,351680,661679"
43,37095,"296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,366629,403378,403379,423778,423779,423780,520605,560929,565817,565818,582192,582193,567356,567357"
44,232364,"300444,296900,351679,351680,366629,423780,423786,423789,423790,464532,464533,473921,473922,518947,518948,520591,520603,560930,565818,582192,582193,569243,569244,569245,566921,566922,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1019993,1019995,1019985,1019987,1020043,1115794,1115780,1115781,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249875"
45,44956,"300444,361759,351679,423778,423779"
46,37111,"298794,300443,366705,520604,520605"
47,38699,"298793,298794,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,1024041,1024043,936127,936129,1030213,1030215,1030217,1019993,1019995,1019985,1019987,1020041,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1183534,1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249211,1249875"
48,38141,"238206,300442,300444,361758,361759,366706,386496,403378,403379,423786,423790,464531,527017,565817,565818,582192,582193,567356,567357,1030215,1030217,1020041,1020043,1020045"
49,37265,"238180,238181,238182,238207,251485,251486,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,386496"
50,37091,"238180,238181,238182,238205,238206,300429,300430,351680,423778,423779,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,667653,730277"
51,37698,"64130,64133,64134,215253,216055,296900,296901"
52,38108,"64128,64129,298793,298794,300429,300430,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780"
53,36627,"64128,64129,64130,64133,64134,251485,251486,298793,298794,300429,300430"
