,id,matches
55,56149,"209929,218813,219612,238167,238168,238171,238172,282691,293478,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426401,426402,531986,531987,538072,538073,587469,602472,760781,760783,858495"
56,56029,"209929,238168,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426424,426401,426402,522245,531986,531987,538072,538073,587469,587470,602472,602473,623576,623577,668949,668951,690347,690349,730295,730297,760781,760783,760785,858493,858495,870729,817213,817215,1029825,1029827,1019985,1041761,1083444,1083445,1104284,1104285,1075502,1075503,1130744,1130745,1146717,1146718,1153639,1153640,1153311,1153312,1197138,1187016,1187017,1214666,1244025,1244026,1255828,1255829,1267676"
57,56056,"64112,538073"
58,56266,"64104,64112,64121,64122,209929,210366,218813,219612,238171,238172,300429,300430,323947,323948,423786,426423"
59,56064,"64103,64104,64111,64112,64121,64122,209929,210366,219612,238167,238168"
60,56188,"64089,64090,64103"
61,55889,64089
62,55991,"64069,64070,64090,64103,64111,64112"
63,55882,"64052,64053,64104,64121,64122,218813,219612,238167,238168,238171,282691,300429,378751,401072,623576"
64,56074,"64043,64044,64045,64052,64053,64069,64070,64089,64090,64103,64104,64111,64121,64122,210366,238171,238172,282691,282692,293478,293479,293480,361758,361759"
65,56235,"64037,209929,210366"
66,55982,"64028,64029"
67,56255,64018
68,56077,64008
69,56186,"63996,64007,64008,218813,293480"
70,56176,"63996,64007,64008,64018,64019,64028,64029,64036,64037,64043,64045,64069,64070,64089,64090,64103,64104,64111,64121,64122,210366"
71,56251,"63996,64007,64008,64018,64019,64028,64029,64036,64037,64043,64044,64045,64052,64053,64103,64104,238167"
72,56180,"63995,63996,64007,64008,64018,64019,64112"
73,55915,"63995,63996,64008,64018,64019,64036,64037,64043,64044,64045,64052,64053,64069,64070,64089,64090,64103"
74,55880,63995
75,56249,"63995,64044,64070"
76,55887,"63972,63973,63996"
77,56107,"63967,63968,63972,63973,64007,64008,64019,64037,64043"
78,56007,"63956,63957,63967,63968,64028,64029,64036,64037,64043,64044,64052,64053,64111,64112,64121,64122,209929,210366,238171,238172,282691,282692,293478,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071"
79,55952,"63956,63967,63968,64028,64029,64036,64037,64043,64044,64045,64052,64053"
80,55988,"63947,63956,63957,63967,63968,63972,63996,64018,64019,64028,64029,64036,64037,64044,64045,64069,64070,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426401,426402,522245,538072,602472,602473,623576,623577"
81,55878,"63931,63946,63956,63957,63972,63973,63995,64018,64019,64028"
82,55976,"63930,63931,64052,64053,64069,64070,64089,64090,64104,64111"
83,55986,"63930,63931,63946,63947,63957,63967,63972,63973,282692,293479"
84,55968,"63930,63931,63946,63947,63956,63967,63968,63972,63973,63995,63996,64007,64008,64019,64036,64045,64069"
85,55935,"63930,63931,63946,63947,63956,63957,63967,63968,63973,64007,64028,64029,64036,64037,64043,64044,64045,64052,64053,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480"
86,56104,"63898,64069,64070"
87,56068,63898
88,56035,"63898,63930,63931,63946,63947,63956,63957,64018"
89,55973,"63898,64007,64029,64043,64044,64045,64052,64053,64069,64070,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480,323947,323948"
90,55970,"63898,63930,63931,63946,63947,63972,63973,64028,64029"
91,55954,"63898,63930,63946,63947,63956,63957,63967,63968,63972,63973,63995,63996,64007,64008,64018,64019,64036,64037,64043,64044,64045,64052,64053,64069,64070,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478"
92,55909,"63898,63930,63946,63947,63968"
93,55906,"63898,63930,63931,63946,63947,63956,63957,63967,63968,63972,63973,63995,63996,64007,64008,64018,64019,64028,64029,64036,64037,64043,64044,64045,64052,64053,64069,64070,64089,64090,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480,300429,300430,323947"
94,56224,"63898,63930,63931,63946,63947,63956,63957,63967,63968,63972,63973,63995,64018"
95,56219,"63898,63931,63947,63956,63957,63967,63968,63972,63973,63995,63996,64007,64008,64019,64036"
96,56221,"63898,63930,63931,63946,63957,63995,64028,64029"
