player,matches
55946,"587469,426401,426424,426402,434257,423786,401071,401072,426423,350346,378750,378751,350345,361759,361758,300429,300430,323947,323948"
55882,"623576,401072,378751,300429,282691,218813,219612,238167,238168,238171,64104,64121,64122,64052,64053"
56056,"538073,64112"
56138,531987
56093,"531987,531986,434256,434257,401071,401072,350346,378750,378751"
56266,"423786,426423,300429,300430,323947,323948,238172,218813,219612,238171,209929,64112,64104,64121,64122,210366"
56007,"401071,350346,378750,378751,350345,361759,361758,300429,300430,323947,323948,293479,282691,282692,293478,238172,293480,238171,209929,64112,64121,64122,210366,64111,64052,64053,64043,64044,64037,64028,64029,64036,63967,63968,63956,63957"
56032,"350346,378750,350345,361759"
56031,"350346,378750,378751,350345,361759,361758,293479"
56074,"361759,361758,293479,282691,282692,293478,238172,293480,238171,64104,64121,64122,210366,64103,64111,64089,64090,64069,64070,64052,64053,64043,64044,64045"
55906,"300429,300430,323947,293479,282691,282692,293478,238172,218813,219612,238167,238168,293480,238171,209929,64112,64121,64122,210366,64111,64089,64090,64069,64070,64052,64053,64043,64044,64045,64037,64028,64029,64018,64008,63996,64007,64019,64036,63995,63972,63973,63967,63968,63956,63957,63947,63931,63946,63930,63898"
55973,"323947,323948,293479,282691,282692,293478,238172,218813,219612,238167,238168,293480,238171,209929,64112,64104,64121,64122,210366,64103,64111,64089,64090,64069,64070,64052,64053,64043,64044,64045,64029,64007,63898"
55986,"293479,282692,63972,63973,63967,63957,63947,63931,63946,63930"
55935,"293479,282691,282692,293478,238172,218813,219612,238167,238168,293480,238171,209929,64112,64104,64121,64122,210366,64103,64111,64089,64090,64052,64053,64043,64044,64045,64037,64028,64029,64007,64036,63973,63967,63968,63956,63957,63947,63931,63946,63930"
55954,"282691,282692,293478,238172,218813,219612,238167,238168,238171,209929,64112,64104,64121,64122,210366,64103,64111,64089,64090,64069,64070,64052,64053,64043,64044,64045,64037,64018,64008,63996,64007,64019,64036,63995,63972,63973,63967,63968,63956,63957,63947,63946,63930,63898"
56160,"282692,218813,219612,238167,238168,293480"
56186,"218813,293480,64008,63996,64007"
56064,"219612,238167,238168,209929,64112,64104,64121,64122,210366,64103,64111"
56251,"238167,64104,64103,64052,64053,64043,64044,64045,64037,64028,64029,64018,64008,63996,64007,64019,64036"
56235,"209929,210366,64037"
55991,"64112,64103,64111,64090,64069,64070"
56180,"64112,64018,64008,63996,64007,64019,63995"
56176,"64104,64121,64122,210366,64103,64111,64089,64090,64069,64070,64043,64045,64037,64028,64029,64018,64008,63996,64007,64019,64036"
55976,"64104,64111,64089,64090,64069,64070,64052,64053,63931,63930"
56188,"64103,64089,64090"
55915,"64103,64089,64090,64069,64070,64052,64053,64043,64044,64045,64037,64018,64008,63996,64019,64036,63995"
55889,64089
55968,"64069,64045,64008,63996,64007,64019,64036,63995,63972,63973,63967,63968,63956,63947,63931,63946,63930"
56104,"64069,64070,63898"
56249,"64070,64044,63995"
55952,"64052,64053,64043,64044,64045,64037,64028,64029,64036,63967,63968,63956"
56107,"64043,64037,64008,64007,64019,63972,63973,63967,63968"
55982,"64028,64029"
55878,"64028,64018,64019,63995,63972,63973,63956,63957,63931,63946"
55970,"64028,64029,63972,63973,63947,63931,63946,63930,63898"
56221,"64028,64029,63995,63957,63931,63946,63930,63898"
56255,64018
56035,"64018,63956,63957,63947,63931,63946,63930,63898"
56224,"64018,63995,63972,63973,63967,63968,63956,63957,63947,63931,63946,63930,63898"
56077,64008
56219,"64008,63996,64007,64019,64036,63995,63972,63973,63967,63968,63956,63957,63947,63931,63898"
55887,"63996,63972,63973"
55880,63995
55909,"63968,63947,63946,63930,63898"
56068,63898
