player,matches
662973,"1239543,1239544,1239545,1243015,1243016,1187672,1185305,1185306,1185307,1225248,1198242,1187671,1185304,1152850,1152839,1158063,1140385,1140386,1158062,1119550,1119536,1119549,1119552,1119553"
308967,"1239543,1239544,1239545,1263462,1263463,1263464,1243015,1243016,1243384,1185305,1185306,1185307,1225247,1225248,1198242,1198243,1263465,1187671,1185304,1225249,1198241,1152847,1152848,1152849,1152850,1152846,1158063,1158064,1140385,1140386,1140387,1158062,1119550,1119551,1119536,1119549,1119552,1119553,1119535,1034817,1034815,1034813,902635,902637,743939,743941,743963,743965,743969,743971,743967,667715,667717,667719,766929,766931,766933"
632172,"1239544,1239545,1239546,1263462,1263463,1263464,1263465,1034809,1034811,1034813"
8917,"1239544,1239545,1239546,1243385,1152839,1152846,1158063,1158064,1140385,1140386,1140387,1158062,1119552,1119553,1072309,1072308,1072306,1072307,1115780,1031659,1031661,1031663,1072305,1031441,1031443,1034817,1031437,1031439,1034815,1034809,1034811,1034813,1029827,1029825,913641,913613,913615,913617,913643,913645,913647,800461,800463,800465,800467,902635,902637,902639,743939,743941,743963,743965,743969,743971,743967,667715,667717,667719,766931,766933,667899,667901,667711,667713"
457279,"1249211,1243385,1152839"
646847,"1243015,1243016,1243384,1243387,1185305,1185306,1225247,1225248,1198242,1198243,1225249,1198241,1119536,1119535"
669855,"1243384,1187672,1225247,1198243,1243386,1187671,1185304,1225249,1198241,1152847,1152848,1152849,1152850"
12454,"1187672,1185305,1185306,1185307,1225247,1187671,1185304,1152847,1152848,1152849,1152850,1152839,1152846,1158063,1158064"
298438,"1152847,1152848,1152849,1152839,1152846"
24599,"1152839,592401"
440780,"1158064,1140385,1140386,1140387,1158062,1119550,1119551,1119536,1119549,1119552,1119553,1031441,1031443,1034817,1031437,1031439,1034815"
244497,"1140385,1140386,1140387,1158062,1119550,1119551,1119549,1119552,1119553,1034817,1034815,1034809,1034811,1034813,1029827,1029825,902635,902637,902639"
