match,players
63824,"55528,55456,55713,55584,55846,55854,55675,55761,55429,55427,55301"
63825,"55528,55456,55713,55502,55584,55854,55675,55761,55429,55427,55301"
63797,"55825,55571,55456,55584,55846,55758,55848,55761,55429,55427,55301"
63798,"55571,55456,55713,55502,55584,55756,55848,55761,55429,55427,55301"
63781,"55456,55713,55502,55846,55854,55756,55758,55761,55429,55427,55301"
63782,"55456,55713,55584,55846,55854,55758,55848,55761,55429,55427,55301"
63792,"55456,55713,55502,55584,55846,55758,55848,55761,55429,55427,55301"
63793,"55456,55713,55502,55584,55846,55758,55848,55761,55429,55427,55301"
63764,"55713,55502,55756,55758,55848,55761,55714,55497,55429,55427,55301"
63765,"55713,55502,55582,55756,55758,55848,55761,55497,55429,55427,55301"
63734,"55840,55756,55675,55307,55758,55848,55761,55497,55429,55427,55301"
63735,"55840,55675,55758,55848,55761,55367,55497,55429,55427,55301,55267"
63723,"55584,55582,55854,55756,55758,55848,55367,55497,55429,55427,55301"
63719,"55846,55408,55854,55675,55758,55848,55761,55367,55429,55427,55301"
63720,"55846,55854,55756,55675,55758,55848,55367,55680,55429,55427,55301"
63722,"55846,55854,55756,55675,55758,55848,55367,55497,55429,55427,55301"
63693,"55854,55560,55756,55758,55848,55761,55367,55497,55429,55427,55301"
63710,"55854,55756,55307,55758,55848,55761,55497,55429,55427,55301,55267"
63674,"55280,55756,55307,55758,55848,55761,55265,55497,55429,55427,55301"
63673,"55756,55307,55758,55848,55761,55367,55265,55497,55429,55427,55301"
63709,"55756,55675,55307,55758,55848,55761,55497,55429,55427,55301,55267"
63672,"55675,55307,55758,55848,55761,55367,55265,55497,55429,55427,55301"
63659,"55758,55524,55848,55761,55367,55265,55525,55497,55429,55427,55301"
63626,"55524,55848,55761,55714,55367,55265,55497,55429,55427,55301,55267"
63657,"55524,55848,55761,55691,55367,55265,55525,55497,55429,55427,55301"
63658,"55524,55848,55761,55714,55691,55367,55525,55497,55429,55427,55301"
63624,"55848,55761,55714,55691,55367,55276,55497,55429,55427,55301,55267"
63625,"55848,55761,55691,55367,55276,55265,55497,55429,55427,55301,55267"
63604,"55708,55271,55265,55680,55802,55497,55429,55427,55301,55267,55235"
63585,"55265,55802,55700,55497,55429,55427,55321,55301,55279,55267,55235"
63584,"55680,55802,55700,55525,55497,55429,55427,55321,55301,55279,55235"
63583,"55802,55700,55525,55497,55429,55427,55321,55301,55279,55267,55235"
