,0
743969,"351588,251721,308967,8917,311158,303669,297433,210283,10617,11728,9062"
743971,"351588,251721,308967,8917,311158,303669,297433,210283,10617,11728,9062"
743967,"251721,308967,8917,311158,303669,297433,210283,10617,11728,9062,8608"
667715,"308967,272485,288992,8917,232438,247235,303669,10617,11728,9062,8608"
667717,"308967,272485,288992,8917,232438,247235,303669,10617,11728,9062,8608"
667719,"308967,272485,288992,8917,232438,247235,303669,10617,11728,9062,8608"
766929,"308967,288992,232438,311158,303669,21646,47623,10617,11728,9062,8608"
766931,"308967,288992,8917,232438,311158,303669,47623,10617,11728,9062,8608"
766933,"308967,288992,8917,232438,311158,303669,47623,10617,11728,9062,8608"
667899,"272485,288992,8917,232438,303669,10617,18675,11728,19264,9062,8608"
667901,"272485,288992,8917,232438,303669,10617,18675,11728,19264,9062,8608"
667711,"272485,8917,232438,311158,303669,10617,18675,11728,19264,9062,8608"
667713,"272485,8917,232438,311158,303669,10617,18675,11728,19264,9062,8608"
592401,"24599,310519,232438,311158,297433,10656,10617,11728,19296,9062,8608"
592398,"311158,303669,10656,20431,10617,18675,18655,11728,19296,9062,8608"
592399,"311158,303669,10656,9310,20431,10617,18675,11728,19296,9062,8608"
592400,"311158,303669,297433,10656,9310,10617,18655,11728,19296,9062,8608"
566936,"247235,297499,303669,47623,20431,10617,18675,11728,19296,9062,8608"
565809,"303669,11718,47623,9310,20431,18675,18655,11728,19296,9062,8608"
569243,"303669,11718,210283,47623,10617,18675,18655,11728,19296,9062,8608"
569244,"303669,11718,210283,47623,10617,18675,18655,11728,19296,9062,8608"
569245,"303669,11718,297433,210283,47623,10617,18675,18655,11728,9062,8608"
566921,"303669,11718,297433,210283,47623,20431,10617,18675,11728,9062,8608"
566922,"303669,11718,297433,210283,47623,20431,10617,18675,11728,9062,8608"
566932,"303669,297433,210283,47623,20431,10617,18675,11728,19296,9062,8608"
566933,"303669,297433,47623,9310,20431,10617,18675,11728,19296,9062,8608"
566934,"303669,297433,47623,9310,20431,10617,18675,11728,19296,9062,8608"
566935,"303669,297433,47623,9310,20431,10617,18675,11728,19296,9062,8608"
592397,"303669,10656,47623,20431,10617,21650,18675,11728,19296,9062,8608"
565806,"11718,18632,47623,9310,20431,10617,18675,11728,19296,9062,8608"
565807,"11718,297433,18632,47623,20431,10617,18675,18655,11728,19296,8608"
565808,"11718,18632,210283,47623,20431,18675,18655,11728,19296,9062,8608"
534226,"297635,210283,47623,9310,10617,18675,11728,19296,9062,20387,8608"
534227,"297635,297433,210283,47623,20431,10617,18675,11728,9062,20387,8608"
534205,"297433,47623,9310,20431,10617,18675,11728,19296,9062,20387,8608"
534206,"297433,47623,9310,20431,10617,18675,11728,19296,9062,20387,8608"
534207,"297433,210283,47623,18389,9310,20431,18675,11728,19296,9062,20387"
521225,"18632,47623,20431,10617,18675,18655,11728,19296,9062,20387,8608"
521226,"18632,210283,47623,9310,20431,18675,11728,19296,9062,20387,8608"
426402,"21431,24598,210283,47623,20431,18675,11728,19296,9062,20387,8608"
426401,"24598,210283,47623,9310,20431,18675,11728,19296,9062,20387,8608"
426413,"24598,210283,47623,20431,10617,18675,11728,19296,20387,10772,8608"
426414,"24598,210283,47623,20431,10617,18675,11728,19296,20387,10772,8608"
426415,"24598,210283,47623,20431,10617,18675,11728,19296,20387,10772,8608"
426416,"24598,210283,47623,20431,10617,18675,11728,19296,20387,10772,8608"
474463,"24598,47623,20431,10617,21650,18675,11728,19296,9062,20387,8608"
474464,"24598,210283,47623,20431,10617,21650,18675,11728,19296,9062,20387"
474465,"24598,47623,20431,10617,21650,18675,11728,19296,9062,20387,8608"
474472,"24598,47623,20431,10617,21650,18675,11728,19296,9062,20387,8608"
474473,"24598,47623,9310,20431,10617,18675,11728,19296,9062,20387,8608"
474474,"24598,9310,20431,10617,10582,18675,11728,19296,9062,20387,8608"
474475,"24598,9310,20431,10617,10582,18675,11728,19296,9062,20387,8608"
531628,"24598,47623,20431,10617,21650,18675,11728,19296,9062,20387,8608"
531629,"24598,47623,20431,10617,18675,18655,11728,19296,9062,20387,8608"
531630,"24598,47623,20431,10617,18675,18655,11728,19296,9062,20387,8608"
426424,"21646,210283,47623,9310,20431,10617,18675,11728,19296,9062,10772"
426423,"210283,10656,47623,9310,20431,10617,18675,11728,19296,9062,10772"
428749,"210283,47623,20431,10617,18675,11728,19296,9062,20387,10772,8608"
428750,"210283,47623,20431,10617,18675,11728,19296,9062,20387,10772,8608"
428751,"210283,47623,20431,21650,18675,11728,19296,9062,20387,10772,8608"
345974,"47623,20431,10617,18675,11728,9062,20387,10772,8608,14054,12856"
387570,"47623,18389,20431,10617,18675,11728,19296,9062,20387,10772,8608"
387571,"47623,18389,20431,10617,18675,11728,19296,9062,20387,10772,8608"
387572,"47623,18389,20431,10617,18675,11728,19296,9062,20387,10772,8608"
387573,"47623,20431,10617,18675,11728,19296,9062,20387,10772,8608,20187"
428752,"47623,9310,20431,21650,18675,11728,19296,9062,20387,10772,8608"
428753,"47623,9310,20431,21650,18675,11728,19296,9062,20387,10772,8608"
534225,"47623,9310,20431,10617,10582,18675,11728,19296,9062,20387,8608"
380712,"18389,9310,20431,10617,10582,18675,11728,19296,20387,10772,8608"
380713,"18389,9310,20431,10617,10582,18675,11728,19296,20387,10772,8608"
345971,"18389,20431,10617,10582,18675,11728,19296,20387,10772,8608,12856"
345972,"18389,20431,10617,10582,18675,11728,9062,20387,10772,8608,12856"
345973,"18389,20431,10617,10582,18675,11728,9062,20387,10772,8608,14054"
352664,"23911,20431,10617,18675,20123,18655,11728,19296,20387,10772,8608"
361050,"20431,18675,18655,11728,19296,9062,20387,10772,8608,14054,12856"
361051,"20431,10617,18675,18655,11728,19296,9062,20387,10772,8608,12856"
390680,"20431,10617,18675,20123,11728,19296,20387,10772,8608,14054,12856"
352663,"20431,8845,10617,10582,20123,11728,19296,20387,10772,8608,20187"
345970,"20431,10617,10582,18675,18655,11728,19296,20387,10772,8608,12856"
296910,"270253,8845,10617,18655,11728,19296,9062,20387,8608,22182,12856"
300442,"8845,18655,11728,19296,9062,20387,10772,14054,20187,14236,22182"
300443,"8845,10617,18655,11728,19296,9062,20387,10772,8608,20187,22182"
300444,"8845,10617,18655,11728,19296,9062,20387,10772,8608,20187,22182"
296900,"8845,10617,18655,11728,19296,9062,20387,10772,8608,20187,22182"
296901,"8845,10617,18655,11728,19296,9062,20387,10772,8608,20187,22182"
296902,"8845,10617,18655,11728,19296,9062,20387,10772,8608,20187,22182"
296909,"8845,10617,18655,11728,19296,9062,20387,10772,8608,20187,22182"
296911,"8845,18655,11728,19296,9062,20387,10772,8608,20187,22182,12856"
296912,"8845,10617,18655,11728,19296,9062,20387,10772,8608,14054,12856"
291223,"10617,10582,18675,18655,11728,19296,9062,10772,14054,20187,22182"
352661,"10617,18675,18655,11728,19296,9062,20387,10772,14054,20187,12856"
352662,"10617,18675,20123,18655,11728,19296,20387,10772,8608,20187,12856"
291222,"10582,18675,18655,11728,19296,9062,10772,8608,20187,14236,22182"
291224,"10582,18675,18655,11728,19296,9062,10772,14054,20187,14236,22182"
258468,"21650,18675,18655,11728,19296,9062,20387,10772,8608,20187,22182"
258469,"21650,18675,18655,11728,19296,9062,20387,10772,8608,20187,22182"
258470,"21650,18675,18655,11728,19296,9062,20387,10772,8608,20187,22182"
258459,"18675,20123,18655,11728,19264,19296,9062,20387,10772,14054,14236"
258460,"18675,18655,11728,19264,19296,9062,20387,10772,14054,20187,22182"
258461,"18675,18655,11728,19264,19296,9062,20387,10772,14054,20187,22182"
258462,"18675,18655,11728,19296,9062,20387,10772,14054,20187,14236,22182"
225266,"16281,18655,11728,19264,19296,20387,15501,10772,21585,14236,12856"
225264,"17944,18655,11728,19264,19296,20387,15501,10772,21585,14236,12856"
225265,"17944,18655,11728,19264,19296,20387,15501,10772,21585,14236,12856"
225256,"17944,18655,11728,19296,9062,20387,15501,10772,14054,21585,14236"
225257,"17944,18655,11728,19296,9062,20387,10772,14054,21585,14236,19346"
225258,"17944,18655,11728,19296,9062,20387,10772,14054,21585,14236,19346"
249224,"17944,18655,11728,19296,9062,20387,15501,10772,14054,14236,12856"
249225,"17944,18655,11728,19296,9062,20387,10772,14054,14236,19346,12856"
249226,"17944,18655,11728,19296,9062,20387,10772,8608,14054,19346,12856"
238187,"20123,18655,22144,19296,9062,20387,15501,10772,8608,14236,12856"
239025,"18655,11728,9117,19296,9062,20387,15501,10772,14054,14236,12856"
238186,"18655,11728,19264,19296,9062,20387,15501,10772,14054,14236,12856"
225255,"18655,11728,19264,19296,9062,20387,15501,10772,14054,21585,14236"
249222,"11728,19296,9062,20387,15501,10772,8608,14054,14236,12856,13368"
249223,"11728,19296,9062,20387,15501,10772,8608,14054,14236,12856,13368"
226351,"19264,22144,19296,9062,15501,10772,14054,21585,14236,22182,12856"
225443,"22144,19296,9062,20387,15501,10772,14054,21585,14236,12856,13368"
226350,"22144,19296,9062,20387,15501,14054,21585,14236,22182,12856,13368"
213856,"19296,9062,20387,15501,14054,15555,21585,14236,22182,12856,13368"
215010,"19296,9062,20387,15501,14054,15555,21585,14236,22182,12856,13368"
215686,"19296,9062,20387,15501,14054,15555,21585,14236,22182,12856,13368"
216994,"19296,9062,20387,15501,14054,15555,21585,14236,22182,12856,13368"
218383,"19296,9062,20387,15501,10772,14054,21585,14236,22182,12856,13368"
64096,"9062,20387,15501,8608,15876,14054,21585,14236,22182,12856,13368"
209929,"9062,20387,15501,9042,14054,15555,21585,14236,22182,12856,21537"
210366,"9062,20387,15501,9042,14054,15555,21585,14236,22182,12856,21537"
64086,"20387,15501,14054,15555,21585,14236,12856,13368,9327,21537,14325"
64087,"20387,15501,20040,14054,21585,14236,22182,12856,13368,9327,21537"
64088,"20387,15501,20040,14054,21585,14236,22182,12856,13368,9327,21537"
64093,"20387,15501,15876,14054,15555,21585,14236,22182,12856,13368,21537"
64094,"20387,15501,8608,15876,14054,21585,14236,22182,12856,13368,21537"
