match,players
1072309,"660889,550235,229954,236489,296597,8917,303669,297433,10617,11728,8608,501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1072308,"550235,229954,236489,296597,8917,247235,303669,297433,10617,11728,8608,501011,288284,272450,215152,219889,489889,6683,272279,215155,267192,7252"
1072306,"464626,229954,236489,296597,8917,247235,303669,297433,10617,11728,8608,501011,334337,288284,219889,311592,489889,6683,272279,215155,267192,7252"
1072307,"464626,229954,236489,296597,8917,247235,303669,297433,10617,11728,8608,501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1115780,"464626,229954,236489,8917,311158,247235,303669,297433,10617,11728,8608,277914,55395,539511,388802,213674,233713,277912,277906,38924,232364,38699"
1031659,"229954,214265,370535,236489,8917,311158,303669,297433,10617,11728,8608,443150,670031,556749,391832,431905,581379,391485,431909,252932,348024,230553"
1031661,"229954,214265,236489,8917,311158,247235,303669,297433,10617,11728,8608,443150,391832,431905,581379,391485,431909,446101,252932,348024,341593,230553"
1031663,"229954,214265,370535,236489,8917,311158,303669,297433,10617,11728,8608,443150,391832,431905,581379,391485,431909,446101,252932,348024,341593,230553"
1072305,"229954,236489,414990,296597,8917,247235,303669,297433,10617,11728,8608,501011,334337,288284,219889,311592,489889,6683,272279,215155,267192,7252"
1031441,"214265,370535,236489,440780,8917,311158,303669,297433,10617,11728,8608,45955,267724,439952,550215,372116,379143,230852,44828,46945,46538,43906"
1031443,"214265,370535,236489,440780,8917,311158,303669,297433,10617,11728,8608,45955,486672,486679,267724,550215,372116,379143,230852,44828,46538,43906"
1034817,"211855,440780,414990,244497,308967,8917,311158,303669,297433,10617,11728,398439,422108,234675,376116,26421,253802,32540,237095,31107,236779,32242"
1031437,"211855,440780,351588,8917,232438,311158,303669,297433,10617,11728,8608,45955,486672,267724,550215,372116,379143,230852,46945,44932,46538,43906"
1031439,"211855,440780,351588,8917,232438,311158,303669,297433,10617,11728,8608,45955,486679,267724,439952,372116,379143,230852,44828,46945,46538,43906"
1034815,"440780,414990,244497,308967,8917,311158,247235,303669,297433,11728,8608,398439,447587,422108,326016,234675,376116,26421,253802,32540,237095,32242"
1034809,"632172,349853,521637,244497,8917,311158,247235,303669,297433,10617,11728,481896,277916,234675,376116,26421,253802,32540,279810,237095,31107,28763"
1034811,"632172,349853,521637,244497,8917,311158,303669,297433,10617,11728,8608,447587,422108,481896,277916,234675,376116,26421,253802,32540,279810,237095"
1034813,"632172,244497,308967,8917,311158,247235,303669,297433,11728,9042,8608,398439,447587,481896,277916,234675,376116,26421,253802,32540,237095,32242"
1029827,"349853,521637,244497,8917,232438,311158,247235,303669,297433,210283,11728,373538,629063,375724,401057,402992,373696,56025,280734,56194,56143,56029"
1029825,"521637,244497,8917,232438,311158,247235,303669,297433,10617,11728,9042,373538,629063,375724,401057,373696,288305,56025,280734,56194,56143,56029"
913641,"414990,296597,249866,8917,232438,247235,303669,297433,210283,10617,11728,43685,233901,323244,316397,43590,39037,227760,290948,41434,41378,43652"
913613,"296597,249866,8917,311158,303669,11718,297433,210283,10617,11728,8608,437316,629074,552152,227772,300628,50482,324358,267414,301236,49764,49178"
