match,players
903607,"34102,277916,28235,234675,26421,253802,32540,279810,237095,31107,236779"
903609,"34102,277916,28235,234675,376116,26421,253802,32540,279810,237095,236779"
1030215,"34102,481896,277916,28235,326016,234675,26421,253802,32540,279810,237095"
1030217,"34102,481896,277916,234675,376116,26421,253802,32540,279810,237095,28763"
1122725,"34102,481896,277916,28235,234675,26421,253802,32540,279810,237095,236779"
1022593,"481896,277916,28235,376116,26421,253802,32540,279810,237095,31107,236779"
1034809,"481896,277916,234675,376116,26421,253802,32540,279810,237095,31107,28763"
598815,"277916,326016,234675,26421,253802,32540,32130,237095,236779,28081,35320"
903603,"277916,28235,234675,360911,376116,26421,253802,32540,279810,237095,31107"
598814,"28235,326016,234675,26421,253802,32540,32130,237095,236779,28081,35320"
598812,"326016,234675,26421,253802,32540,237095,236779,28081,35263,29264,35320"
598813,"326016,234675,26421,253802,32540,237095,236779,28081,35263,29264,35320"
565809,"234675,26421,253802,32540,32130,236779,32966,28081,28763,35263,35320"
518952,"35731,376116,253802,236779,28081,28763,35263,30102,30750,28114,35320"
535999,"360911,26421,253802,32130,236779,28081,28763,35263,30750,28114,35320"
535997,"376116,26421,32130,236779,28081,28763,36084,35263,30750,28114,35320"
535998,"376116,26421,32130,236779,28081,28763,36084,35263,30750,28114,35320"
518950,"376116,26421,253802,236779,28081,28763,35263,30102,30750,28114,35320"
518951,"376116,26421,253802,236779,28081,28763,35263,30102,30750,28114,35320"
518953,"376116,26421,253802,279810,236779,28763,35263,30102,30750,28114,35320"
565817,"376116,26421,253802,32540,33335,32130,28081,28763,35263,30102,35320"
565818,"376116,26421,253802,32540,33335,32130,28081,28763,35263,30102,35320"
565806,"376116,26421,253802,32540,32130,28081,28763,36084,35263,30102,35320"
565807,"26421,253802,32540,32130,28081,28763,36084,35263,30102,29264,35320"
565808,"26421,253802,32540,32130,236779,28081,28763,36084,35263,30102,35320"
489226,"302582,30732,253802,33335,237095,31107,236779,28081,29264,30750,28114"
489227,"302582,30732,253802,33335,310958,237095,236779,28081,29264,30750,28114"
489228,"302582,30732,253802,33335,237095,236779,32965,28081,29264,30750,28114"
474472,"302582,30732,33335,236779,28081,28763,30102,29264,30750,28114,35320"
474473,"302582,30732,33335,236779,34274,28081,36084,29264,30750,28114,35320"
474474,"30732,33335,31107,236779,34274,28081,28763,35263,30750,28114,35320"
463146,"390484,33335,236779,34274,28081,28763,35263,29264,30750,28114,35320"
464527,"32540,33335,32130,237095,34274,28081,35263,30102,29264,28114,35320"
463147,"32540,237095,236779,34274,28081,35263,30102,29264,30750,28114,35320"
463148,"32540,236779,34274,28081,28763,35263,30102,29264,30750,28114,35320"
456670,"33335,310958,32130,237095,236779,28081,35263,29264,30750,28114,35320"
456671,"33335,310958,32130,237095,31107,236779,28081,35263,30750,28114,35320"
464526,"33335,32130,236779,28081,28763,35263,30102,29264,30750,28114,35320"
464531,"33335,32130,34274,28081,28763,35263,30102,29264,30750,28114,35320"
464532,"33335,32130,34274,28081,28763,35263,30102,29264,30750,28114,35320"
464533,"33335,32130,236779,34274,28081,28763,35263,29264,30750,28114,35320"
474475,"33335,31107,236779,34274,35280,28081,28763,35263,30750,28114,35320"
